SampleID,genus_shannon,genus_evenness,genus_richness,species_shannon,species_evenness,species_richness
129_V5,2.1309452607776476,0.0146991351975888,212,4.127682264426945,0.016445529627837647,522
129_V6,1.2456133796876878,0.011702374732246548,170,1.881819359157823,0.006862508551056255,386
129_V7,1.7885678004626862,0.011416495136730376,213,2.7239918252172277,0.012453338044661678,421
129_V8,2.3765145836241546,0.012245412561996452,228,2.605538489361232,0.005657798240688237,420
129_V9,1.472378926070583,0.005795809184592083,283,1.9856081663781293,0.003872976233617031,502
130_S1,1.7399276465818057,0.021288601798731783,123,2.586780179944533,0.020190275162304015,233
130_V1,1.4224875941551558,0.019822380173296666,100,1.4931629483500504,0.009063418892888279,219
130_V10,2.449614475189606,0.008608372383271853,319,3.354132328271102,0.007784230497684904,599
130_V11,1.6218377636985224,0.0047984175096108875,351,2.814043459561961,0.00495977059127158,672
130_V12,1.336666935968256,0.004210798284563242,349,3.1585522015373106,0.0066912499732846905,635
130_V2,0.42811361247655405,0.024506755370008352,48,0.9801436479976677,0.012692926682131945,115
130_V5,1.5219904193009621,0.021738956394830155,111,2.076338200797458,0.014597456338129856,221
130_V6,0.9821138325155312,0.014819533683562487,124,1.0543997366126678,0.007081021113241456,257
130_V7,1.4203512286892777,0.010188738172164636,204,1.9390777208076917,0.006531435651572274,393
130_V8,2.300444324297872,0.01169824977255545,315,3.23939544241512,0.008988729014560274,675
130_V9,2.0824247393088897,0.008600908362380451,267,3.7358618175362137,0.012397617076234692,500
131_A1,3.449277916126792,0.031942237143279026,230,4.09226661361145,0.019488877313460322,462
131_A1F,3.453149148113377,0.030031968392653912,246,4.172784579261653,0.017984570258081384,500
131_S1,1.697567063737151,0.007129006447924147,254,1.757403760636024,0.0035281290133307823,506
131_S2,3.8159772627262343,0.02853575171984715,302,4.742272336020135,0.023600838370756733,582
131_V3,1.6324452710255173,0.007940983052717282,239,1.8190412270644394,0.0033898709535169136,549
131_V5,1.9350621571663817,0.012577175081492066,194,2.103882285153442,0.006258329746974083,381
131_V6,1.998646192635036,0.010884989385811976,239,2.042881768914295,0.005400388002828419,489
132_S1,2.074244745605801,0.010357268530436625,323,3.5312515978018957,0.011184180311352532,687
132_V1,0.8425905222317035,0.022847236611842722,69,1.059257975269209,0.010418868378255532,157
132_V2,1.1823362254754652,0.01987247764144871,99,1.27073060328285,0.008003340955444874,244
132_V4,1.6381679485033283,0.020739522057002704,124,2.5532226281372745,0.014680700332500855,243
132_V5,1.2651970249041466,0.011405741135307526,183,1.3488940909116642,0.005613736288651128,374
133_V2,1.6225770398362056,0.027839766388721286,86,2.1715140534894624,0.01033740343605682,229
133_V3,0.6707017519736117,0.007241864737868521,174,0.7070497110098484,0.003013892332355561,416
133_V7,2.8136826200864347,0.014977404727598944,344,3.238831278951202,0.007627692175668297,673
134_V10,1.7646504303723725,0.005146989129090089,346,3.376364329427965,0.007182939475346121,629
