SampleID,MDS1,MDS2,MDS3
108_V11,0.3405693316837878,-0.1949799281793221,0.05620108260292758
108_V12,0.3194931783515575,0.010942185318587464,-0.09266893577456577
108_V2,0.19343791231787846,0.7153322789247614,0.5592126964930839
108_V3,-0.05477755734864381,0.5141868636341221,-0.060487770736844325
108_V4,-0.29305346273495086,0.32323713554076966,0.007805775005318874
108_V5,-0.34450060788817793,0.23813563236176724,-0.08874132576663789
108_V6,0.09550915395091325,0.19638425850141356,-0.4466874626000555
108_V7,-0.18892035389344028,0.31942315841442875,0.014648790668108945
108_V9,0.33288144724400043,-0.16671671622697398,0.15823638428203782
109_S1,-0.142307674746627,0.16326550622988026,-0.23619219931172644
109_S4F,0.311864478753562,0.15239313092325008,-0.08834904876293405
109_S5,0.17252591950124258,0.01945862433473332,-0.0487593933498265
109_V1,0.36700864877030737,-0.23527812087973904,0.17121560395257437
109_V3,1.1768882225671189e-4,-0.2344413412138063,0.031147775749369104
109_V5,-0.21969140828895736,-0.16891729743309838,-0.003479916691559204
109_V6,0.13162312407125723,-0.1501559419297039,0.007085300127993008
110_V11,0.3212457146807989,-0.13515869915371456,0.0036455223961583383
110_V12,0.329322654097737,-0.14658038549560978,0.003197033732792185
110_V8,0.2774033154272133,-0.17474838033774193,0.10107512695399067
111_V2,-0.7514362142808877,-0.1337270692611816,-0.2258323467373904
112_A1,0.34657137404836247,-0.18169089526376736,0.027875696896883774
112_A2,0.2743109833156682,-0.029867536727029933,0.014467855930477084
112_A2F,0.28507750298078705,-0.07912737251488283,0.0019931520522526902
112_S_1,0.16398883441203443,0.6059068692264513,0.3272592736034583
112_V10,0.25062324588655094,0.07364620168299185,-0.021150373860047797
112_V11,0.2830387091858993,-7.647937104454444e-5,-0.05849382670137076
112_V12,0.31112655819116825,0.04624934918354443,-0.11572679513818696
112_V3,-0.2512714286110216,0.3962370361959582,0.14902906769751798
112_V6,-0.638258999366245,-0.0137413267250552,0.10018512111864403
112_V7,-0.2375064310910404,0.3759725725805853,0.2904799049393306
112_V8,-0.3165761288026615,0.22387808954968358,0.1030873990385861
112_V9,0.2371622862272168,0.1522086825982201,-0.00972766920386573
113_V6,0.27869768549559826,-0.2495494501848139,0.15527251044799675
113_V8,0.1513835857049853,0.5524754991867207,0.3466793776139288
114_V7,-0.2481754958183488,0.3569927542371382,0.15910154056795672
114_V8,0.2100262352504844,-0.10427547065049461,0.09324242519844435
115_S1,0.2278558297389481,0.21593670911872087,-0.021397528418072555
116_V1,0.17909785761809946,-0.2360022968633587,-0.23525570085133615
116_V3,-0.3694459921274052,-0.12117509641426803,0.10086682259400648
116_V5,-0.7221322000402621,-0.07878653918959072,0.0847175149372803
116_V7,-0.2990440219784772,-0.07065606660144219,0.050180892071515146
116_V8,0.15742560614096668,-1.4950194920853045e-4,-0.02673008405665894
117_S1,-5.869209094762629e-4,0.5294277524310141,0.20010530215398076
117_S3,0.1305440736584216,-0.07458767257204177,-0.03945770112702211
117_V1,-0.3697371135130462,-0.27126199955854935,-0.04561701531882979
117_V10,0.1155365948443295,-0.16767665072046353,0.03330907704085082
117_V11,0.12512092825709786,-0.051473895492782154,-0.04343628118928046
117_V3,-0.46934636732878265,-0.19724574880882975,-0.09062028189892742
117_V7,-0.687790762888558,-0.04966224151224198,0.07542630874809268
117_V8,-0.3574576716045331,0.09969040448189559,-0.19880568448490227
117_V9,0.18744829753231396,-0.13039133486582993,-0.004359291869003177
118_S1,0.30183867104206036,-0.1618334545944164,0.04138087851894613
118_S1F,0.3323330176933359,-0.16775660309723728,0.04148707685380306
118_S3,0.3572598494632461,-0.07393904161942792,-0.10333540049880804
118_S4,0.3969059347155069,-0.016115320019403353,-0.07810318742335082
118_V10,0.29372734830345726,0.19322945021738752,-0.173870591911696
118_V11,0.33765305458973516,-0.08351495062289321,-0.027418432991839433
118_V3,-0.2526139811109099,-0.11210279329749667,-0.06376309929283004
118_V6,0.20346291150047738,-0.05238941749062172,0.14903423984864417
118_V7,0.2506332127633993,-0.023671240520374403,0.0927321618416189
118_V8,0.26447809162444436,-0.1801057698993009,0.03537452863250867
119_V1,0.03564880198027481,0.39617443501440025,-0.6466670845885941
119_V12,0.36854830236627034,0.05465083125597214,-0.18405548281996215
119_V8,0.1560047141812774,0.5779216575042635,0.2604336346195831
120_V2,-0.7454732781899347,-0.17552557786049264,0.05862273429954652
121_V1,-0.6333862916170426,-0.024198947274515593,0.06497402482546918
121_V10,0.40725142280787835,0.1852439637441641,-0.3158138707802609
121_V2,-0.37352638763955026,0.25138434055148345,0.19344700292692055
121_V6,0.2665631969541476,-0.17176784215149168,0.19213672469894452
121_V9,0.3310106820037121,0.07203760616117741,-0.1990753473578775
122_V1,-0.32235748757105964,-0.2472891158780704,0.06970215899246554
122_V3,-0.3094969835636275,-0.24899164266609436,0.07696711940361269
123_S2,0.22589805378773076,-0.2889992643475088,0.004415450832630286
123_S2F,0.19110927223866414,-0.25742705078133177,-0.011390739601520922
123_S2F2,0.08366927540189677,-0.11044688045761644,-0.14079250338469726
123_S3,0.2461746957619041,-0.25861570685939833,0.06800892977180745
123_S4,0.2905732598993581,-0.06729984384857124,-0.041324258625196064
123_S4F,0.32302008703195517,-0.10048052320969661,-0.026336026964665457
123_V1,-0.1725929800158275,0.23945171702403423,-0.5805286175385327
123_V10,0.34402500368922395,-0.22629770864277698,0.04084007096271048
123_V11,0.33252477062287245,-0.06658687509491272,-0.03753150692169259
123_V2,-0.44822824704410014,0.024906341291231066,-0.273577738859838
