module	module_size	in_in	in_out	out_in	out_out	odds_ratio	p_value	p_adj
M00926	10	1	377	9	2128	0.6271735926908341	0.8044368408440989	1.0
M00018	10	1	377	9	2128	0.6271735926908341	0.8044368408440989	1.0
M00895	10	1	377	9	2128	0.6271735926908341	0.8044368408440989	1.0
M00346	10	1	377	9	2128	0.6271735926908341	0.8044368408440989	1.0
M00527	10	1	377	9	2128	0.6271735926908341	0.8044368408440989	1.0
M00176	10	1	377	9	2128	0.6271735926908341	0.8044368408440989	1.0
M00117	10	1	377	9	2128	0.6271735926908341	0.8044368408440989	1.0
M00127	11	1	377	10	2127	0.5641909814323608	0.8339469702496599	1.0
M00651	11	1	377	10	2127	0.5641909814323608	0.8339469702496599	1.0
M00025	12	1	377	11	2126	0.5126597540390644	0.8590140809707576	1.0
M00014	12	1	377	11	2126	0.5126597540390644	0.8590140809707576	1.0
M00740	12	1	377	11	2126	0.5126597540390644	0.8590140809707576	1.0
M00846	13	1	377	12	2125	0.46971706454465073	0.8803056021026209	1.0
M00016	13	1	377	12	2125	0.46971706454465073	0.8803056021026209	1.0
M00024	13	1	377	12	2125	0.46971706454465073	0.8803056021026209	1.0
M00374	23	2	376	21	2116	0.53596757852077	0.8814703249359195	1.0
M00028	14	1	377	13	2124	0.4333809426647623	0.8983889284036637	1.0
M00121	15	1	377	14	2123	0.4022356953391436	0.9137463794486118	1.0
M00532	15	1	377	14	2123	0.4022356953391436	0.9137463794486118	1.0
M00620	17	1	377	16	2121	0.3516246684350133	0.937862021970371	1.0
M00003	20	1	377	19	2118	0.29568616501465866	0.9620253016097536	1.0
M00924	20	1	377	19	2118	0.29568616501465866	0.9620253016097536	1.0
M00546	20	1	377	19	2118	0.29568616501465866	0.9620253016097536	1.0
M00376	21	1	377	20	2117	0.28076923076923077	0.967778582568276	1.0
M00011	34	2	376	32	2105	0.34990026595744683	0.9731138324675653	1.0
M00009	40	2	376	38	2099	0.29381298992161253	0.9884989171437022	1.0
M00173	43	2	376	41	2096	0.27192527244421383	0.9925361207105792	1.0
M00357	30	1	377	29	2108	0.19281075642550077	0.9926785867200236	1.0
M00001	30	1	377	29	2108	0.19281075642550077	0.9926785867200236	1.0
M00109	5	0	378	5	2132	0.0	1.0	1.0
M00785	6	0	378	6	2131	0.0	1.0	1.0
M00786	9	0	378	9	2128	0.0	1.0	1.0
M00787	6	0	378	6	2131	0.0	1.0	1.0
M00789	7	0	378	7	2130	0.0	1.0	1.0
M00793	5	0	378	5	2132	0.0	1.0	1.0
M00797	6	0	378	6	2131	0.0	1.0	1.0
M00798	6	0	378	6	2131	0.0	1.0	1.0
M00799	5	0	378	5	2132	0.0	1.0	1.0
M00800	5	0	378	5	2132	0.0	1.0	1.0
M00802	5	0	378	5	2132	0.0	1.0	1.0
M00804	6	0	378	6	2131	0.0	1.0	1.0
M00784	5	0	378	5	2132	0.0	1.0	1.0
M00805	8	0	378	8	2129	0.0	1.0	1.0
M00810	10	0	378	10	2127	0.0	1.0	1.0
M00811	8	0	378	8	2129	0.0	1.0	1.0
M00814	8	0	378	8	2129	0.0	1.0	1.0
M00815	9	0	378	9	2128	0.0	1.0	1.0
M00819	7	0	378	7	2130	0.0	1.0	1.0
M00823	9	0	378	9	2128	0.0	1.0	1.0
M00824	9	0	378	9	2128	0.0	1.0	1.0
M00825	8	0	378	8	2129	0.0	1.0	1.0
M00826	7	0	378	7	2130	0.0	1.0	1.0
M00827	6	0	378	6	2131	0.0	1.0	1.0
M00831	5	0	378	5	2132	0.0	1.0	1.0
M00808	5	0	378	5	2132	0.0	1.0	1.0
M00783	6	0	378	6	2131	0.0	1.0	1.0
M00782	8	0	378	8	2129	0.0	1.0	1.0
M00780	7	0	378	7	2130	0.0	1.0	1.0
M00622	7	0	378	7	2130	0.0	1.0	1.0
M00630	5	0	378	5	2132	0.0	1.0	1.0
M00631	8	0	378	8	2129	0.0	1.0	1.0
M00633	5	0	378	5	2132	0.0	1.0	1.0
M00636	6	0	378	6	2131	0.0	1.0	1.0
M00637	7	0	378	7	2130	0.0	1.0	1.0
M00649	5	0	378	5	2132	0.0	1.0	1.0
M00033	5	0	378	5	2132	0.0	1.0	1.0
M00652	5	0	378	5	2132	0.0	1.0	1.0
M00660	18	0	378	18	2119	0.0	1.0	1.0
M00673	8	0	378	8	2129	0.0	1.0	1.0
M00725	6	0	378	6	2131	0.0	1.0	1.0
M00736	6	0	378	6	2131	0.0	1.0	1.0
M00032	11	0	378	11	2126	0.0	1.0	1.0
M00741	13	0	378	13	2124	0.0	1.0	1.0
M00745	6	0	378	6	2131	0.0	1.0	1.0
M00763	6	0	378	6	2131	0.0	1.0	1.0
M00769	5	0	378	5	2132	0.0	1.0	1.0
M00773	13	0	378	13	2124	0.0	1.0	1.0
M00774	9	0	378	9	2128	0.0	1.0	1.0
M00775	7	0	378	7	2130	0.0	1.0	1.0
M00776	7	0	378	7	2130	0.0	1.0	1.0
M00777	8	0	378	8	2129	0.0	1.0	1.0
M00778	11	0	378	11	2126	0.0	1.0	1.0
M00779	8	0	378	8	2129	0.0	1.0	1.0
M00832	5	0	378	5	2132	0.0	1.0	1.0
M00035	7	0	378	7	2130	0.0	1.0	1.0
M00833	10	0	378	10	2127	0.0	1.0	1.0
M00031	6	0	378	6	2131	0.0	1.0	1.0
M00892	8	0	378	8	2129	0.0	1.0	1.0
M00893	6	0	378	6	2131	0.0	1.0	1.0
M00020	5	0	378	5	2132	0.0	1.0	1.0
M00019	6	0	378	6	2131	0.0	1.0	1.0
M00897	5	0	378	5	2132	0.0	1.0	1.0
M00898	5	0	378	5	2132	0.0	1.0	1.0
M00013	7	0	378	7	2130	0.0	1.0	1.0
M00902	7	0	378	7	2130	0.0	1.0	1.0
M00903	6	0	378	6	2131	0.0	1.0	1.0
M00906	5	0	378	5	2132	0.0	1.0	1.0
M00010	6	0	378	6	2131	0.0	1.0	1.0
M00889	9	0	378	9	2128	0.0	1.0	1.0
M00911	8	0	378	8	2129	0.0	1.0	1.0
M00008	5	0	378	5	2132	0.0	1.0	1.0
M00007	6	0	378	6	2131	0.0	1.0	1.0
M00917	13	0	378	13	2124	0.0	1.0	1.0
M00006	6	0	378	6	2131	0.0	1.0	1.0
M00925	16	0	378	16	2121	0.0	1.0	1.0
M00004	15	0	378	15	2122	0.0	1.0	1.0
M00929	5	0	378	5	2132	0.0	1.0	1.0
M00930	7	0	378	7	2130	0.0	1.0	1.0
M00931	5	0	378	5	2132	0.0	1.0	1.0
M00002	12	0	378	12	2125	0.0	1.0	1.0
M00934	12	0	378	12	2125	0.0	1.0	1.0
M00912	13	0	378	13	2124	0.0	1.0	1.0
M00883	5	0	378	5	2132	0.0	1.0	1.0
M00880	9	0	378	9	2128	0.0	1.0	1.0
M00879	5	0	378	5	2132	0.0	1.0	1.0
M00836	5	0	378	5	2132	0.0	1.0	1.0
M00837	11	0	378	11	2126	0.0	1.0	1.0
M00838	11	0	378	11	2126	0.0	1.0	1.0
M00030	9	0	378	9	2128	0.0	1.0	1.0
M00841	5	0	378	5	2132	0.0	1.0	1.0
M00029	6	0	378	6	2131	0.0	1.0	1.0
M00027	8	0	378	8	2129	0.0	1.0	1.0
M00848	11	0	378	11	2126	0.0	1.0	1.0
M00849	11	0	378	11	2126	0.0	1.0	1.0
M00850	7	0	378	7	2130	0.0	1.0	1.0
M00851	21	0	378	21	2116	0.0	1.0	1.0
M00852	14	0	378	14	2123	0.0	1.0	1.0
M00853	5	0	378	5	2132	0.0	1.0	1.0
M00026	18	0	378	18	2119	0.0	1.0	1.0
M00855	10	0	378	10	2127	0.0	1.0	1.0
M00857	10	0	378	10	2127	0.0	1.0	1.0
M00860	7	0	378	7	2130	0.0	1.0	1.0
M00023	15	0	378	15	2122	0.0	1.0	1.0
M00867	6	0	378	6	2131	0.0	1.0	1.0
M00022	14	0	378	14	2123	0.0	1.0	1.0
M00872	10	0	378	10	2127	0.0	1.0	1.0
M00873	8	0	378	8	2129	0.0	1.0	1.0
M00874	7	0	378	7	2130	0.0	1.0	1.0
M00875	7	0	378	7	2130	0.0	1.0	1.0
M00878	11	0	378	11	2126	0.0	1.0	1.0
M00834	5	0	378	5	2132	0.0	1.0	1.0
M00104	12	0	378	12	2125	0.0	1.0	1.0
M00616	5	0	378	5	2132	0.0	1.0	1.0
M00609	6	0	378	6	2131	0.0	1.0	1.0
M00087	19	0	378	19	2118	0.0	1.0	1.0
M00151	10	0	378	10	2127	0.0	1.0	1.0
M00152	10	0	378	10	2127	0.0	1.0	1.0
M00154	17	0	378	17	2120	0.0	1.0	1.0
M00155	5	0	378	5	2132	0.0	1.0	1.0
M00156	5	0	378	5	2132	0.0	1.0	1.0
M00157	8	0	378	8	2129	0.0	1.0	1.0
M00158	20	0	378	20	2117	0.0	1.0	1.0
M00159	9	0	378	9	2128	0.0	1.0	1.0
M00160	14	0	378	14	2123	0.0	1.0	1.0
M00161	6	0	378	6	2131	0.0	1.0	1.0
M00147	13	0	378	13	2124	0.0	1.0	1.0
M00162	8	0	378	8	2129	0.0	1.0	1.0
M00165	17	0	378	17	2120	0.0	1.0	1.0
M00166	7	0	378	7	2130	0.0	1.0	1.0
M00167	10	0	378	10	2127	0.0	1.0	1.0
M00171	9	0	378	9	2128	0.0	1.0	1.0
M00085	6	0	378	6	2131	0.0	1.0	1.0
M00174	12	0	378	12	2125	0.0	1.0	1.0
M00175	8	0	378	8	2129	0.0	1.0	1.0
M00082	14	0	378	14	2123	0.0	1.0	1.0
M00307	12	0	378	12	2125	0.0	1.0	1.0
M00308	7	0	378	7	2130	0.0	1.0	1.0
M00309	8	0	378	8	2129	0.0	1.0	1.0
M00163	6	0	378	6	2131	0.0	1.0	1.0
M00146	14	0	378	14	2123	0.0	1.0	1.0
M00145	14	0	378	14	2123	0.0	1.0	1.0
M00088	5	0	378	5	2132	0.0	1.0	1.0
M00112	5	0	378	5	2132	0.0	1.0	1.0
M00113	8	0	378	8	2129	0.0	1.0	1.0
M00114	8	0	378	8	2129	0.0	1.0	1.0
M00115	8	0	378	8	2129	0.0	1.0	1.0
M00102	11	0	378	11	2126	0.0	1.0	1.0
M00101	10	0	378	10	2127	0.0	1.0	1.0
M00118	5	0	378	5	2132	0.0	1.0	1.0
M00099	11	0	378	11	2126	0.0	1.0	1.0
M00120	12	0	378	12	2125	0.0	1.0	1.0
M00098	15	0	378	15	2122	0.0	1.0	1.0
M00122	10	0	378	10	2127	0.0	1.0	1.0
M00097	6	0	378	6	2131	0.0	1.0	1.0
M00096	9	0	378	9	2128	0.0	1.0	1.0
M00125	17	0	378	17	2120	0.0	1.0	1.0
M00095	8	0	378	8	2129	0.0	1.0	1.0
M00094	8	0	378	8	2129	0.0	1.0	1.0
M00128	5	0	378	5	2132	0.0	1.0	1.0
M00092	5	0	378	5	2132	0.0	1.0	1.0
M00130	12	0	378	12	2125	0.0	1.0	1.0
M00090	5	0	378	5	2132	0.0	1.0	1.0
M00089	22	0	378	22	2115	0.0	1.0	1.0
M00137	5	0	378	5	2132	0.0	1.0	1.0
M00140	5	0	378	5	2132	0.0	1.0	1.0
M00142	7	0	378	7	2130	0.0	1.0	1.0
M00143	11	0	378	11	2126	0.0	1.0	1.0
M00345	7	0	378	7	2130	0.0	1.0	1.0
M00036	13	0	378	13	2124	0.0	1.0	1.0
M00075	13	0	378	13	2124	0.0	1.0	1.0
M00074	11	0	378	11	2126	0.0	1.0	1.0
M00544	6	0	378	6	2131	0.0	1.0	1.0
M00545	11	0	378	11	2126	0.0	1.0	1.0
M00056	7	0	378	7	2130	0.0	1.0	1.0
M00547	5	0	378	5	2132	0.0	1.0	1.0
M00548	6	0	378	6	2131	0.0	1.0	1.0
M00055	13	0	378	13	2124	0.0	1.0	1.0
M00550	7	0	378	7	2130	0.0	1.0	1.0
M00051	15	0	378	15	2122	0.0	1.0	1.0
